sec,nsec,latitude,longitude,altitude
1717248823,552343000,49.27357354490061,7.159372952650707,321.1642150878906
1717248823,604344000,49.27357354974641,7.159372949163763,320.31683349609375
1717248823,656345000,49.27357354887242,7.159372949894536,320.4699401855469
1717248823,708345000,49.27357354785349,7.159372950761374,320.6494445800781
1717248823,760346000,49.27357354670425,7.1593729516371045,320.85528564453125
1717248823,812346000,49.2735735453923,7.1593729525316165,321.0875244140625
1717248823,864346000,49.27357355044083,7.159372947958397,320.27508544921875
1717248823,916349000,49.273573549614746,7.1593729484691,320.4201354980469
1717248823,968350000,49.273573548699,7.159372949116522,320.5915222167969
1717248824,20349000,49.27357354766745,7.1593729501369605,320.7892761230469
1717248824,72350000,49.27357354653644,7.159372951323839,321.013427734375
1717248824,124351000,49.273573545329015,7.15937295254369,321.263916015625
1717248824,176351000,49.273573550526265,7.159372950342327,320.3726806640625
1717248824,228353000,49.273573549855236,7.1593729516652305,320.5359191894531
1717248824,280354000,49.27357354909648,7.159372953044514,320.7255554199219
1717248824,332354000,49.273573548232136,7.159372954578186,320.9415283203125
1717248824,384356000,49.273573547268626,7.159372956276809,321.1838684082031
1717248824,436356000,49.273573550081224,7.159372949794166,320.3276672363281
1717248824,488357000,49.27357354927423,7.159372950699085,320.4828186035156
1717248824,540358000,49.27357354829425,7.15937295192242,320.6643371582031
1717248824,592358000,49.273573547279554,7.159372953355807,320.8722229003906
1717248824,644360000,49.273573546127544,7.159372954936389,321.1064758300781
1717248824,696360000,49.27357355047383,7.159372949368712,320.2852783203125
1717248824,748361000,49.27357354973828,7.159372950316614,320.4323425292969
1717248824,800362000,49.27357354888744,7.159372951329379,320.6057434082031
1717248824,852362000,49.27357354788225,7.159372952703614,320.8055114746094
1717248824,904364000,49.27357354668535,7.1593729540924445,321.0316162109375
1717248824,956365000,49.27357354523146,7.159372955636545,321.28411865234375
1717248825,8364000,49.27357354986633,7.1593729497220755,320.3841857910156
1717248825,60366000,49.273573549113365,7.159372950506105,320.5494689941406
1717248825,112366000,49.27357354843338,7.159372951400194,320.7411193847656
1717248825,164367000,49.2735735477034,7.159372952489287,320.9591064453125
1717248825,216368000,49.273573546892194,7.159372953745955,321.2034606933594
1717248825,268369000,49.273573551619194,7.15937294900489,320.338623046875
1717248825,320369000,49.27357355134067,7.1593729499723695,320.4957580566406
1717248825,372370000,49.273573551039,7.159372951097396,320.6792907714844
1717248825,424371000,49.273573550650056,7.159372952348425,320.8891906738281
1717248825,476372000,49.27357355021132,7.1593729537707125,321.12542724609375
1717248825,528373000,49.27357355127269,7.15937294960439,320.2956848144531
1717248825,580373000,49.27357355097242,7.159372950574597,320.44476318359375
1717248825,632375000,49.27357355058641,7.159372951798701,320.6202087402344
1717248825,684374000,49.273573550179776,7.159372953167068,320.822021484375
1717248825,736375000,49.273573549723864,7.159372954768161,321.0502014160156
1717248825,788377000,49.273573551394534,7.159372949360718,320.255126953125
1717248825,840377000,49.27357355110991,7.159372950322675,320.3960876464844
1717248825,892377000,49.27357355082886,7.159372951367587,320.56341552734375
1717248825,944379000,49.273573550455566,7.159372952626375,320.757080078125
1717248825,996380000,49.27357355010793,7.15937295383787,320.9771423339844
1717248826,48380000,49.27357354971922,7.159372955149575,321.2235412597656
1717248826,100381000,49.27357355187814,7.159372948570843,320.349853515625
1717248826,152382000,49.27357355181189,7.159372948967647,320.5090637207031
